"id","rating","vote","asin","user_id","reviewText"
"1","4","","B011KGD43W","6af1ec283256868099bf56159a6ab2ccDC66","WORKS FOR ME"
"2","5","","B011KGD43W","c51edb398e87b8bdea3790a0238e0f86TI81","There are so many note pads in this set, love it!"
"3","5","","B011KGD43W","d3c5d2575770c6d9a2cf351029b4af5bLVHF","As expected"
"4","5","","B011KH5EV6","5b395070e67f94638e89b321c785de27XPD5","As advertised"
"5","5","","B011KH5EV6","ad5abe6f344b7ab1aed4064c3bd67307CL4I","Fine love the eraser as erases clean.\n\nBJ"
"6","5","","B011KH5EV6","8340e7e910247393b3a35b0a72b3bcdfU91X","As ordered as expected."
"7","5","","B011KGP250","ada970125449252f689fbc3b4122887fI6HX","My old one just wasn't sturdy enough. This one is a pretty good option, but won't staple too thick a stack of paper."
"8","5","","B011KGP250","3e1111aae6a40a3de83af5330edcc62f0UVC","I love my stapler! Buy it! It's great!"
"9","5","","B011KGP250","1cf5584c18d92497595647710057fe0e45YS","This is a very good sturdy stapler I love it."
"10","4","","B011KGNBTE","f72c108610bb84f91f3efd510e3b075eHM7P","Great price for G2s!!"
"12","1","","B011KH4CG4","89ea229d99f472663b09b8d6374e756dB5E7","I'm not sure if it's packaging and/or shipping, but every time I tried to use a manual pencil sharpener (Used 3 different kinds since we have kids) and the lead broke every time! So, we borrowed an electric pencil sharpener and it did not break.  So confusing."
"13","5","","B011KGIUX6","5a206e1f8f98f6f0e5e34487741a39c5YZT9","I was questioning this purchase due to the price point but very happy I still made the purchase. This pen will be snatched up if you do not watch it. Smart buy"
"14","5","","B011KGIUX6","7068dbffdd7830352c598a97fbf9372eAVU4","works great"
"15","5","","B011KGIUX6","b55b125ec80a8326a8f2c95f2fcd3633Q0CY","Comfortable hold, smooth writing."
"16","4","","B011KGIUX6","cf3da3c45637515759a2525db61ab69cH6V3","nice and sturdy"
"17","5","","B011KGIUX6","d9d7b4e912323db38c90fb1410d07e0fO57S","I love this pen. I put a different color ink in it, but it is my favorite pen."
"18","5","","B011KW0VH8","c69b53c0ce71faf2daf074e0faf4529e19YR","Love it and it smells and feels great!"
"19","4","","B011KW0VH8","fc086b5d9baebc2ee569a261cbc0ae1dJ3MR","These scents are a little stronger than most of the Burt's Bees products I've used, but they're pleasant scents so it doesn't really bother me. They're good for chapped lips, especially in the winter air, so I'm happy with them."
"20","5","","B011KW0VH8","25f7f8af929d32f53c2303124f9151fa10ZB","very good to carry around in my pocket."
"21","5","","B011KW0VH8","e4bafa9fc8d6432e25aec26c8d9ce8eeN1C4","These are my two favorite Burt's Bees lip balm ""flavors"" - smell great! Smooth application!"
"22","5","","B011KW0VH8","b295c6f887780d85f3a1db69e8f73a065U2D","I have used Burt's Bees 100% Natural Moisturizing Lip Balm before and was quite happy with it the first time.  I'm sure that I will be as pleased with the Coconut & Pear Lip Balm, and my husband will like the Mango Lip Balm (his favorite) too."
"23","5","","B011KW1HXK","f6bb545e86bda0b8403790c06990dcedQHUG","Because the crystals sink and take awhile to dissolve, they work perfectly for removing algae from the floor of a pool.  My chlorine levels dropped after a week of heavy rains and algae developed overnight.  I sprinkled three containers of this over the spots and the algae was gone in hours and my chlorine level returned to normal in my 30,000 gallon pool. And because it is food quality chlorine, the kids could swim in the pool in an hour."
"24","5","","B011KW1HXK","c5738f2cbe12bb28d4da68a55576e8a09L0P","Super convenient easy to store and easy to use it works just as good as liquid bleach this time you can control it where it does or doesnt go unless you put it there... where is this been all my life"
"25","5","","B011KW1HXK","50e273933a83224d92fdab758c5326d2Y20T","I like it"
"27","2","","B011NJL32K","d0f91b4fbd56365206ec0300a733b6d2ROWS","Iffy. Grass goes bad too quickly. My cat isn't interested as much."
"28","4","","B011NJIXN2","598b789f76146fe3adedb84269c0286aZ7WP","worked really well.  Does not smell great.  Really does the job however."
"29","5","","B011O2IG6M","25dc0f84204a386a3d7a44785766b3b6YBFD","Only brand that works in my dishwasher. Favorite."
"30","5","","B011O2IG6M","734d5016cc289c5949f3f39e944f5656VXZ1","Like the product, love the price at Amazon, love to buy in bulk"
"31","5","","B011O2IG6M","f96ea4bd0c332dba2714be9a5639991302RN","good"
"32","5","","B011O2IG6M","b2edd77ab6fca460b924aa80c7605ce0OURX","The dishes are very clean with FInish dish powder."
"33","3","2","B011O2IG6M","0cd96368e792b34bba7377680cf5d697WFN7","I've used many different types of dishwasher detergent from Cascade to store brand or generic and this is the first time I have ever tried Finish. I like it better than generic brands that I have used as some didn't dissolve all the way and I would end up with a ton of soap residue. Finish doesn't leave a ton of residue, but as far as taking off grime, I don't see much being done. It left a thin layer of milk of a cup and I am always rewashing after the heavy wash cycle. I would probably try an upgraded version but when we already rinse our dishes before we put them in the dishwasher, I would like for the dishes to get cleaned and for me not to still have to hand wash. It's kind of pointless. It's not horrible, but I'm not impressed :("
"34","5","","B011O2H5DC","1e48d9d9e0459519360544699da4facbX6XE","Problem solved with this product, thanks mucinex"
"35","5","","B011O2H5DC","369fbe49ae059a74099ba9835914ded82X24","This is a big help"
"36","2","","B011O2H5DC","47e069f620d1827108344bc79fde70b47Z4X","Just did not work for me,,,,Plus you take two tablets every four hours that just makes this way too expensive"
"38","5","","B011O2JH7Y","f43e513fd95a80420e5a8c9f57f66ed37LYW","All Disgestive Advantage products,are excellent quality and work well. The price is at a level I can afford on a very limited income. I love all D.A. Priducts."
"39","5","","B011O2JH7Y","a3df4ccf1c741f20e4ad08bf3357f665B4J7","This stuff really works to stop gas when eating vegetables and it's much easier to use than beano"
"40","3","","B011O2JH7Y","d7ada7fecebdd7550c98d8bc0a2b692eL1IM","honestly, my inner scientifically minded skeptic doesn't want this to work but i think it kind of does.  more research is needed to form concrete conclusions.  however, i can say for sure that taking these things didn't kill me, mutate me, or cause an alien to explode out of my chest.  at the very least, it seems safe.  will update if i reach further conclusions."
"41","5","","B011O2N9JQ","8d8d22db08c47b5edc132c3b0860f5c3A0G5","Fiance likes"
"42","5","","B011O2N9JQ","55d6270a6a89b0cbbe67e42d414519f7D8PN","Leaves dishes nice and clean, no streaks or film."
"43","4","","B011O2N9JQ","9532523865dfb7cde0ba01bf894fbe7cSXMY","Works well. Nothing spectacular"
"44","4","","B011O2N9JQ","e7a4209a7e04d8a8b87b88029bae0be6V3XD","Sparkly dishes...."
"45","4","","B011O2N9JQ","21e8c3b09767bf3ea94f26226621b9b2Q9B9","works great"
"47","5","","B011O2R9LU","1174d66c266c3b02e69defef3ab21201QFGD","After using the blue stuff for years, I decided to try this because it was one of the ""buy 5, get free shipping"" items on Amazon Prime.  Well, we like it better, for sure.  Pleasant aroma and you don't have to worry about staining from that occasional drip from the blue colored deodorizer."
"48","5","","B011O2R9LU","dbdb19faef846d3cb2ebdbedeb97cf89UX8D","Works much better for us than the powder form and does not leave a residue."
"52","4","","B011O2RSKW","56946b0184165f046fec17b4d9c7741fBBMB","I usually use gel packs. We'll see how this works."
"54","5","","B011O2UWW8","a387d4ae4e4e0ae49307e4dda5623a03HEXX","great"
"55","5","","B011O2UWW8","35bfd68fc71998f6e1b2178d0c8c6c1eTKIN","I never notice any fish-burps"
"56","5","","B011O2XCLG","5ebc67616eda80eef18e7e594bd50cabP2M1","great"
"57","3","","B011O2XCLG","7f8189423ef6131812d3158af2d794134IEW","I try many different types of probiotics because I really believe they address many health issues and overall health. Digestive advantage is a good probiotic from a good company but I did not feel any difference like less bloating and gas like it states. I find that there are better probiotics on the market"
"58","4","","B011O2XCLG","ba2e73d1137cb96856602f09202c9e5a3TSM","i change my probiotics every six month. this works well"
"59","3","","B011O2ORJW","1312de83266a337f369ae33305f03749KGIJ","I DIDN'T LIKE THESE, THEY LOST THEIR SMELL REALLY QUICK."
"60","2","","B011O2ORJW","f5fbed127c4c79b2050c9f4427a4d03b4GFU","Can't smell anything and my nose is like a blood hound"
"62","5","","B011O33ERC","6aee0b07018eecb6c7646208acc6c77cU8M1","Great"
"64","3","","B011O2OLOS","9aef508efa47cda24c760dd89ae62ec463IU","smells okay but doesn't last very long, maybe 3 days"
"66","4","","B011O2V3VC","9153ede1a7409a49d45f708d309a6259MUCT","works well"
"67","5","","B011O2V3VC","54d151d5826b085da974ec85f8a81cd1WJ1F","Nice item... as expected works very well...."
"68","5","","B011O2V3VC","4466c6293bab70ec1b8a664e09a4843aCH02","it worked"
"69","5","","B011O2V3VC","f85528fec7ab43216c0d93cc8be3380fRW5G","Works great for the itching."
"70","5","","B011O32S3I","b8177c97ffaf2fdcc872afe70511006c9TJI","Helps loosen up phlegm and stop coughs."
"71","5","","B011O32S3I","16b0ab07c84137a9509d097007524a25E6HG","A"
"73","3","","B011O32S3I","e7082778fe31b81274a692ae1197aaddG145","I think that the liquid works better for me personally. I have been taking these now for a few days and I still think I should change my name to Molly Mucus or Fanny Flem.\nWhen I take the liquid I still have a clear head and I am able to breathe easier without some rasping sound ."
"74","5","","B011O32S3I","17cc49dc311dd765807295fa13cd91f0ELCK","Mucinex Sinus Max works very well.  Plus being part night (which helps me sleep) and part day is a perfect combination."
"75","3","","B011O2UD4A","6f60377fa59ca5e0bc79ed097d7471c2MH70","My son doesn't seem to like the flavor and was still congested 3 hours after use"
"76","3","","B011O2UD4A","8e9765cd4c78c33da9b9553d951432ecAG8U","Tiny bubblegum flavored pellets or granules (1/8 to 1/4 the size of Nerds candy pellets) packaged in individual dosing tubes were easy to use, and pack in diaper back. Flavor was acceptable by my children and went down rather easy after they figured out how to take medicine like this (tilt head back, open mouth, mom pours pellets into mouth, swallow with some water).\n\nIt does have the same active ingredient as the adult Mucinex which does work for me and my husband. As far as actual efficacy goes, I noticed very little difference in their congestion levels before and after taking this medicine and I am not certain that they experience any relief from their mucous congestion. It may be that my children are young... just barely old enough to take this as it is recommended for 4 years. And up so they do not yet know how to physically cough up and expel mucous. Thus, I'm not sure I would buy again in the near future. Maybe I would try it again when my kids are older.\n\nSo, while I cannot give this an enthusiastic recommendation, I think just like with all other over-the-counter remedies, you can try it and if it doesn't work for you...then you can try something else."
"77","5","","B011O2UD4A","6903a172af40a032b719dc27c1f79e4118Q7","Works well for my picky little girl. She usually has to settle for the orange flavor but I was able to find bubble gum online. This is much easier than getting her to take liquid meds."
"78","3","","B011O347RI","9fe6922972817fd872ddd1ed025300f64M65","can't find a melter any more  :("
"79","4","","B011O347RI","466dea708b95641e5823cb3979e53e276P7F","Smell good..."
"82","5","","B011O32A0E","a8b03e30fd491d58dfd7eab96f8ac092AIVD","It is very good. I like it."
"83","4","","B011O32A0E","45932c5574b54df6f269f45a9c4ba8bbQRE1","good"
"84","5","","B011O2M406","dc68c939b164251bd2c41d51d2aaa778TDU3","I find that this is the best cough suppressant for me.  I have a lot of post nasal drip, many allergies, and it doesn't take much for a cough to set in.  The Delsym, not only helps to calm my cough for sleep but it also doesn't taste foul."
"85","5","","B011O2M406","dc21c4ebde5bf2b2d22751b2b6d13dffUOXD","Delsym is the only cough medicine that actually works for me and my family."
"87","5","","B011O2XJ5K","ff63f7fc9f85af12e7ffe95fc45acac7JCND","I live in the country.  This is a must use product."
"88","5","","B011O2XJ5K","ef0caafe7678841d00828f47125f8067DEDG","Works great cant live with out it."
"89","4","","B011O2XJ5K","8024ca271eed5ac832276d262e8cde38X0QU","Seems to be working well and it easier and less messy to use than the powdered Rid-X"
"90","5","","B011O2XJ5K","b007208365b92fecda669ab648ae0835LARK","Works well.  Use every 4-6 weeks."
"91","4","","B011O2XWMK","81c7cffb9c39c4159b51d82f142d33101QQL","This worked pretty well.  I've since gone to one that is for women."
"92","4","","B011O2XWMK","6fb9e821010d6580b53d49e40783636eZR88","k"
"93","5","","B011O2XWMK","701101d64d95eaaf1583bea93013d0f6Q44S","great stuff.  works well and helps with my ibs"
"94","4","","B011O2XWMK","e718daf3ba72f4ef9fbd3bf13ded9c31WUPI","Even though it only has one strain of probiotic, it is a very good price, and my stomach sits easier and does not hurt as much, when I take several of these per day. Recommend!"
"95","4","","B011O2XQBM","4fa2cf98f69f57a3bc124ca0b0a7e257AGPQ","Interesting scent fairly thick and lasting."
"96","3","","B011O2XQBM","018e3243cdaf4dfc294c9eeafa165ab50RE2","This one feels like it drys out faster than others. Also feels like a warming sensation. Sweet taste to it."
"97","5","","B011O2UKYI","1e48d9d9e0459519360544699da4facbX6XE","Great product and excellent quality"
"98","5","","B011O2UKYI","43c983d53c794ed7cc78ab71fbd3b7f4R6SC","WOW  this works really good better than taking a pill and works immediately"
"99","5","","B011O2UKYI","0f2ec447496a4f70a2a99b85ece535f540LP","better than huge tablets!"
"101","5","","B011O31J8S","fa22f2eba134266d5df45d36733985baI2JH","Great"
"103","3","","B011O31J8S","057aa2f8d7946b1c44e36252293e1243Q3AU","It's basically dish soap. Leave skin feeling very strange and dry. Makes oily skin more oily after 1hr."
"104","5","","B011O4YWQS","ab38b6672d9bf268132a4cec29d76336L4Y2","fav vitamin zero flavor"
"106","5","","B011O4YWQS","645864c852968d381a3a87341d88919dBE75","thank you"
