"id","rating","vote","asin","user_id","reviewText"
"11","5","","B011KH4CG4","2a73503d53d933582dd45eb4fe30f9703GPL","I USE THESE FOR SCHOOL WORK AND TUTORING.  GOOD PRODUCT."
"46","5","","B011O2R9LU","44aecb4de7ae3c455fd853f695543811JHN9","Some people say that they have used this for 20+ years and never had to have their septic system pumped, so that convinced me. Seven years so far in my home."
"49","4","2","B011O2R9LU","3a85d5b629f82a0af66912fb2e4bacfdRHIU","Effective with a pleasant scent!  We had used the ""blue"" toilet treatment from West Marine for years, but found it be a bit pricey when not on sale.  We switched to an ""orange"" RV and marine tank treatment that we found at Walmart and it was just bad.  That scent actually made the odor worse - almost skunky- and the orange color mixed with the toilet water was not a pleasant sight.  I found this Rid-X treatment and gave it a whirl.  Sometimes we plan on pumping out, but schedule, weather and water conditions to get to the pump dock prevent us from doing so and the dirty holding tank has to sit for up to 2 weeks on occasion.  This treatment has been very effective at keeping odor at bay until the next pump out.  A little seems to go a long way in stinky boat toilet prevention!"
"51","4","","B011O2RSKW","4813267e76b4a3116940fbfd4c309980SL0B","Great"
"53","5","","B011O2UWW8","db934ec28696ef904a61ff258141556aECSR","Good product at a reasonable cost."
"63","3","","B011O2OLOS","293ebd493d2879cd45d9aebd5807e81d4S0G","I couldn't smell anything, not for me"
"72","5","","B011O32S3I","42d4638351c1d30c32e4fe4a855cfcdcFL2L","Works nicely"
"81","5","","B011O2T8A0","f21f360540671d2b6f772f6db6c93f8eRX56","Works great if you use quickly"
"86","5","","B011O2M406","d6f96a01dbb461820dcdb0d5ec6df94eDE6L","Delsym cough medicine works great! I have only recently purchased the regular as well as the night time while having the flu and my significant other having a terrible cold. We will definitely be purchasing both of them again as needed. It only took using them once to become a repeat customer of the product."
"100","5","","B011O2UKYI","fa8dfdf640c4ea0f3a97d3f81b2c9c3bRLDR","All their products work really well"
"102","5","","B011O31J8S","56f7ce0bf6e2bc7c39d29048f8896431URTP","Great product at a great price!"
"125","3","","B011O2RMDU","ada17a574599d6c3851902e7ff1e377d3SXC","it smells really odd. and it is more lotion feeling then massage oil feeling"
"131","4","","B011OA3LVY","42d4638351c1d30c32e4fe4a855cfcdcFL2L","For extended foreign travel"
"143","5","","B011OA6KXU","4cbde0440bcbcb74f34402ea0743f6caN6XD","Good price, good product!"
"163","5","","B011TB5A2G","cf54d9066be1ff7299e7b5c23ef43298CZWG","GREAT"
"165","4","","B011TB3KN2","6d108cb75e849e80f24d74c84763ca5d3J8S","Took the paint and drywall off when repositioning"
"171","5","","B011TTV63U","17bbbd1576a3150507de009a8b3e9214BHVZ","excellent sleep enhancer"
"173","5","","B011TTV63U","1472dd2b94acd9eb578113baddd65d53L77R","Works well"
"270","5","","B0126V6FTA","56fda2a70b0c158208892737e168bd04650S","Good value. Tasty. Good processing."
"278","1","","B0126TL3YY","a8cdaa8836c06d8cd0f780b70e84689dMW0O","Smells bad.  Not like basil."
"315","1","","B01277GFW0","c8340fb9e9eccc76207b7694d09002e7DZOJ","It lacked flavor of mushroom, but strongly of...garlic maybe? It's completely blended, no pieces of Portabella to bo seen. Just unappetizing. I pitched half of it."
"326","1","2","B01277FBS4","a6c2b50824310d0216e7ca1e4aeeec3fDO1K","I love potato/leek soup and have been looking for one since my local church stopped\nserving it at the annual fairs.  This boxed soup is awful, very little flavor and the texture of glue/paste."
"337","4","","B01277IGYK","deb80a424a3bd5c610a25146b920e6b35BUI","Great soup but didn't care for the taste too much.  More expensive than what you can find on sale at your grocery's.  Arrived on time."
"347","5","","B012AXJR0I","ecc6095dd94159b49d0c87a4a02f1352OLNN","my favorite"
"349","4","","B012AXJR0I","abebf46850ff88c5dea8ea843507120e0YR6","It smells great, but there's still a small amount of Dandruff usually deep in my hair."
"381","5","","B012CUCE9K","b4c8a4a3a4a0eba514302c322a8dd56d65CW","Great product for my grandsons dry skin."
"393","5","","B012CTUT9I","7b6a2913aa6eb29021d6752ca226f415QBLU","Take them every day."
"399","3","","B012D8DCCO","489daa5f1439098fee49b68a8260adbbDR6Y","This coffee was somewhat bland, but ground up very nicely.  It tasted okay."
"402","5","","B012D8AVM8","51f2c2919d0fc5393a23c300563e88f5QMI2","Great coffee blend, no bitter after-taste as in some other coffees!"
"403","3","","B012D8AVM8","6f6b8be95819524448fe1d3cbf5d05f5GF1H","Just average."
"433","5","","B012F2RIHS","d6b0a235cd5b81d0a782e6cdb6d271cbP54L","My favorite veggie hot dog.  These taste nothing at all like regular hot dogs, so if that is what you are looking for, this is not it.  They do have a nice texture and flavor though.  Very satisfying."
"454","5","","B012FUR9NS","26c50cb3cce615182f1dd32ccbd63e6cUCMF","Very satisfied!"
"460","5","","B012FV8QZM","1e87bea5b092419353e42e6d04e61a10AEJK","If you have to ask..."
"461","5","","B012GJLTWK","f957a15f17c9f71e2e42c29ef93ad8b331L3","Works great and doesn't affect my hair color"
"463","5","","B012GJLTWK","6a44a6f89b1c069602bb5686ccf2fce90JN4","A wonderful product"
"468","4","","B012GKCMFW","0b72ed53e9a236e1429ab8cae6e358abGGSV","Works well"
"470","5","","B012GKCMFW","0644eed5f04a890946067f38bd2293f57863","Just like in the stores."
"471","5","","B012H5VPQ8","125cbe6ca50d02841b4a94cae8d2de5cC0G2","Great price for great pain relief. With a permanent back injury I frequently have to reach for this and it does what I need to work for the day."
"474","5","","B012H5VPQ8","c62b3044d8a262b265b5383045e9b0ecMYZY","helps in amazing ways!"
"498","5","","B012O574Q6","6d498dca4a3f9ebaaa2b8c4bc7edff89I6WP","these are great--I take them on vacation"
"500","5","","B012O574Q6","bf958ef29dbe7fa8f95f4936893bd0d0VKVI","1"
"531","5","","B012SAOKRI","0d92b73e26fafc35ffdfbfa5ffbfbd4aMWHP","Creamy not chalky. Mint is the best flavor I've tried. Fast acting."
"547","5","","B012VJR82A","fc6b406c88cd13fc8db62b61d5a54e7fPRPI","Great green tea taste..another great product by this company"
"548","5","","B012VJR82A","666280b85a73958ae3a35bdd1a74976254U1","I love the flavor of this particular kind of cough drop, so I was delighted to be able to find it in bulk here.  Thank you!"
"560","5","","B012VJSHKM","bed4c5bb30a73f8ecf5c8d4be15ddadeTUX5","Great tasting product for soothing throat!"
"594","4","","B012W3AV5Q","c4c20b6cb7c4deb5ea5b8c228c402670FJAR","my own fault, i thought i was getting a regular size bag, not two kid portions. They still enjoyed and gobbled them up but im kinda irritated i paid almost a dollar for about 5 straws."
"595","5","","B012W3AV5Q","8b2de6ed03453c069d127b399da14eb597E8","I like these, they just don't last long they are so good."
"611","5","","B012X33HMY","ffbbce7f4aee3286673769c475af43082ZNA","Blah, no where near as good as Lanocane."
"660","5","","B01341NLE8","7b6a2913aa6eb29021d6752ca226f415QBLU","Works!!  Good price."
"677","5","","B013AV2404","17307f67b8d11ed0cb9d4eb8940ca7e6CTZJ","LOVE these!  Was able to order them a second time  before they stopped selling.  Will get more around the holidays!"
"680","5","","B013AV2404","4cedc6f4397b8abce69c91b4a5535072BUYL","Mmmmmmmm mint.  I love mint.  And these were extremely fresh.  When I opened the bag, I was greeted by the wonderful smell of mint."
"717","5","","B013DUZVRU","120db5ccb780ad5f0e9d80f03cb4db2a3QEJ","Very creamy and delicious!"
"737","5","","B013FZBGWW","2321cdb7d75ced60a9a5c299feff3149JTH8","as expected"
"746","5","","B013FZ91R4","a899048b0a587797dbdbe1b00270512aHVQR","Good"
"757","5","","B013HVUWH4","a08fd16edf367791c3a81935d58fbb2a9DSI","YAASSSSS BERRRIEEESSSS SLAYYYYY.\nThis is the Queen of cereals. Don't try to argue.\nBeez. Kneez."
"777","5","","B013JO3QH2","cb580237788d9d4a0083a1c210095f9bDS8K","my favorite"
"787","4","","B013JXL1IE","2321cdb7d75ced60a9a5c299feff3149JTH8","as expected"
"809","4","","B013OTVHFA","2bf2a56802332a6ecc72ac3d768a5db7TKJB","really not that big of a difference. only marginally larger cheez-its"
"813","5","","B013OV42NW","6fe2c66862faa8c21bdaba4a9f5608caAGB6","I put this by my desk and when gaming it's the perfect choice for snaking.  Now, I do which I got the bigger ones they are the small packs.  Guess I'll head over on the next run and get the big ones for sure."
"870","4","","B013P0GN52","2e24359ecbd2d65b1ed9c203cb2382c1IJM7","Nice flavor combination but the crackers are a little bland and pretty dry. My toddler loves them though!"
"872","5","","B013Q21U4I","98b24fe919c5ac8daf94aea7fbbf18d07YXO","Taste great."
"891","5","","B013QN9J6S","964cd414033f3148f385b80f73a96e1aDGSX","Love these"
"932","3","","B013SRBXX4","95bab465e123eb33d8f05d9a93ac7afdZY0V","Not my favorite some times it works for me sometimes not. I feel like sometimes I even get more itchy then my scalp was originally. They came out with a new one I may try it, but as of now I am not sold."
"942","5","","B013SREORG","51cbba163988ec7e71dc438a794b1378JJFA","Cleans good makes hair soft"
"969","5","","B0141T6G0S","905562819bcf13662c89427d7d51e838NBOD","It is not sweet, at all.  Next time I'll get the capucino, instead.  My mistake; not theirs.  :-)"
"971","5","","B0141RK818","4c990a97bbd0dfc7ebf6fe3c1a16bc4eV5GF","always good"
"1001","5","","B0146B323U","0e61f554a5a13323c730c2a3dab9763fL4LD","I love these laundry pods. They always get my laundry clean and I need and all free and clear product."
"1022","5","","B01487VR2U","ccf0f8b3c1efed0935ba1d640b6d384f80ET","Wearing it right now. Colored my hair with it."
"1026","5","","B014CO2XFY","432d7e158218738d1ec98a37f5b4bac4LRB5","I EAT THESE FOR BREAKFAST WITH MY MORNING COFFEE. I'VE NEVER BEEN A GOOD EATER AAND I FIND THESE BARS FILLING."
"1030","5","","B014CO2UAW","432d7e158218738d1ec98a37f5b4bac4LRB5","I LOVE TO HAVE A LITTLE BIT OF CHOCOLATE EVERY DAY. THESE BARS FIT THE BILL, PERFECTLY."
"1044","5","","B014CZ3SXE","08508e006f3bf87e87a632190c20c8d2C5Q5","LOVE THESE SO MUCH....they are hot..."
"1045","5","","B014CZ3SXE","5b375650a061562191bcac2b8794ee84CRS7","I like them alot"
"1048","5","","B014CZ9VPS","9914e3b58bb6fc23c7c5f30c114e01c3NZAB","good"
"1064","4","","B014CZ23K8","5eb9e825562a4a340770ce591f74d8dbUI0G","Pretty good. Texture and taste was more than expected. Would purchase again"
"1072","2","","B014DBE1CY","f98c326cdc27b4d13485397e8f06557bQFM1","My female cat did not like these, so I could not get her to take her 1/2 pill twice a day."
"1088","5","","B014DBEPP2","7148c2323fddc19160cbdfcc36267e63FXNY","My kitties love these!"
"1090","5","","B014DBB9JW","3510c48d41d2c47a6e1101d64742710247BS","Greenie--can't go wrong with a treat my dogs LOVE!!"
"1111","5","","B014GJY23G","05b03865ff65cf343a0aba34c4ccec15LZWK","These are the Hefty, Hefty, Hefty bags versus the cheaper wimpy, wimpy, wimpy bags...I think most of us remember the old Hefty commercials. These bags are strong, as promised. You don't want to use these bags for everything, but we're finding them indispensable when cleaning up our yard. We use them when a large, strong bag is required."
"1140","5","","B014M6N6VW","44aecb4de7ae3c455fd853f695543811JHN9","This is really good stuff, and it's like 5 calories."
"1182","5","","B014SP955I","3fd05fc24f6305c730b475b8c4b932b6PRGB","great"
"1185","5","3","B014SPCST8","3cb2ab0fc8dcfcbfa97ecf9716f67743YB8S","These hold as well as stitches AND are waterproof. I like them when a cut is on the edge of needing stitches or not?"
"1202","4","","B014UHMHD6","2ea5bc51d7ea8a578360e9970267f623PO3T","Thanks"
"1227","5","","B014UK7R06","80358988dd56b8d785b85e7821a1106fBD90","Wish they didn't run out so often"
"1241","3","","B014UHJEVE","7a7927c61d67fad89fe16d932570b3d8H96I","Some flavors are yummy, some are awful. Stick to what you like."
"1243","5","","B014UHJEVE","1b8011d5cacad52b611cbfda1fa93a9fEME7","It really help with cold symptoms.  I order another one."
"1247","3","2","B014ULGMKG","5a84270682a458a815da925a5fe93344ZBKY","To me, they just have a generic chocolate flavor, nothing spectacular for the price. It says ""gooey fudge center"", um, no... It's about the texture of a regular popular named brown and white cream sandwich cookie. I was hoping for something like melted chocolate chip filling or something flavored like that."
"1248","3","","B014ULGMKG","c700c3e6daa7518ddafe275e3b8e64ae3M9T","Decent cookie--quite nice, actually. This is an Americanized take on a classic Italian cookie, and it works well. Tastes like a Chips Ahoy chocolate chip cookie though--no delicate flavors here. Also, I only paid $3.60 for them when I bought them. The price seems to have gone up significantly since then, and I would not buy them at the new price."
"1253","5","","B014ULZN10","e461cfd5c3c1553abe2b023f1674d9c6EZ2X","These are good little snacks"
"1290","4","","B0151CTXRC","b192b3d2c2471e7d2770d6db3639c717MMSG","tasty"
"1315","4","","B015263M4M","d5f685398fa13551828cffa8c0fa258cAIRS","Good but pricy"
"1330","5","","B01555CPW0","750e3845cc29541865f13a5e8d421e7eWFPF","This came just as expected.  It is just as good as going to he local big stores and does the trick.  Will buy again."
"1348","5","","B015EFLAKO","6ae8f9c4beaf57022fd00181de40cfddCY2M","There are 2 major brands of this product but Clorox works far better!"
"1351","5","","B015EFLAKO","b568b1a31ff01fd9d520a84939416caf08ZG","This stuff is all I use to clean our toilets and showers! It works great and you can't beat the price!"
"1354","5","","B015EFL8JW","c0ef76dd95cb3f654c2055601a914d4fNPXO","Always liked this product"
"1371","3","","B015FCGBKK","3ad26fed69bfaf959fd3ba054424e480MUUE","82.5 Ounce Can Lemonade With Scoop. Amazon Prime Pantry.\n\nThis large can looked impressive but when you make it strong like amusement vendors or restaurants you don't get the rated amount of servings - or you get sweet lemony water. My opinion is that companies are radically reducing the pricey flavor of items and adding sodium or sweeteners to mask the loss. In this case sugar.\nThe taste can be pretty good and somewhat realistic if you adjust the quantities of water and mix.\nEnjoy within Twenty Four Hours of mixing for best flavor. A thin lemon slice goes well with this.\n\n  Once again, the prices are going up (20% this month) so I will look for another brand or another vendor."
"1386","5","","B015FD7YDC","fc1f5fc8055d6463bf5bafaad371aa03Z550","if you love cadbury creme eggs, you will love these. Because they are CADBURY CREME EGGS."
"1394","4","","B015FCGHN6","73c7bc104c1dbb2652f2e6f1dc11f866F31K","Ordered for sweet snack."
"1396","5","","B015FFRKZC","b80a3d665880d7eb631bcfcb17ace37e75A4","Dogs loved them!"
"1401","3","","B015FFRQB0","68faadfc6f7c5f57b62b6f4b744915c46P17","Dogs liked them, I didn't like the size of the package for the money."
"1402","4","","B015FFRVJW","68faadfc6f7c5f57b62b6f4b744915c46P17","Dogs loved them. Bag was smaller than I expected ."
"1405","5","","B015FFR8PE","24c1c5a7086becf428e0ef2e7651cbcaSXDR",""
"1411","4","","B015FMPWHS","9f24e4196586c61100a85267c86c1483H01F","A guilty pleasure since my childhood - roughly forty years since I tasted my first.  Now days my favorite late night treat in cold weather.  However, still a delight any time of day."
"1447","5","","B015IO2YB0","9b03e507eaf394f87eae02cc66d0e10aC5TS","This goes with so many different light and healthy recipes. The pantry box is a great way to have these items delivered."
"1448","4","","B015IO2YB0","aa9215253c9d6190984520ae26bc4c276HGJ","Very good product for a quick meal"
"1457","5","","B015IO2RKS","acd8314e8caa84955c4e304d0108cb6dQQY6","kids loved it"
"1479","5","","B015MJUB6G","6f77bbac02d4388da1870312e048dbae2M2K","Just as described. Very happy with purchase."
"1504","5","","B015NNQJJO","5bf310bdc461b34e5aff68a73a1f940d1DL3","Amazing price and hubs says its great"
"1526","5","","B015O4YUNE","0a1d24824f67ea2964359f6a72b03618RYH0","It's deodorant?  It'll keep you clean."
"1547","5","","B015O6UIOW","8bed02f8e94d1ce06eea10a453a40c49PPMZ","thankU great product"
"1623","5","","B015Z87914","1ed380aa35b8620df4cc7a194f6f1a1c50BV","This soup is too good."
"1627","5","","B015Z89872","1a25a87384a63050ced641710a084753K0AW","Good stuff.  Get Ritz crackers."
"1676","4","","B015Z82V8K","a2afb563ac11d4a5159992a6ea2551f7GIIK","I have always praised Progresso Soups in the past and I will do it again.  This particular one was a very good value on Prime Pantry as well as being low in calories and quite appealing to the taste buds.  What else could you want in a soup or any food for that matter.  Another thing that I love about Progresso Soups is the great variety that they offer, and unlike other brands, they all do not taste the same.  Each has a distinctly different taste.  Prime Pantry still needs to find a way to ship them without damaging the cans so badly.  Other than that, I highly recommend the soup and the supplier."
"1678","5","","B015Z8A330","31e17ecfd8b17f99235740f3f4dfc569B7F2","Great Lenten meal."
