"id","rating","vote","asin","user_id","reviewText"
"7","4","","B003AICE3A","f6f7562db0b4a4e0dec227c0a2e2ea6eTTNT","A top hit for 1968 I believe, one of the top 10 songs of that year"
"20","5","3","B003B2QPZI","4340d2d7311085797b06496848c1b647T9AP","She has a unique sound, they call her R and B. Im not sure about that, she has a wide range of styles and an amazing voice. Her writing is also top notch. Im a rock, metal, country, blues guy so i guess she is more blues than anything."
"26","5","","B003BG4KYM","366f6da228fc514fb7419c872c55242dKJZ0","Fantastic! It's Hendrix."
"28","5","","B003BMH92G","8fb566b5a27d75d05ad23b7abe29269bQSXU","I heard this on Comcast's Soundscapes music channel.  Awesome!"
"43","5","","B003BZ0HWC","d2ea38495f0a38aa1137abad91fb8ddeAQLJ","This was purchased for my g.daughter. She is a huge justin bieber fan. There isn't a song he sings that she doesn't have."
"77","4","","B003CV5N10","f85ea7abe42ebe456815800f2c735588N63E","Saw him in concert last year, older, but still has the music in his heart. This is one of my faves in his songbook, and playing it brings back countless memories. Classic, and classy."
"82","5","","B003DDY3NG","06c6c32763b5d55406bf2f4df540eb68Y9E7","Great"
"84","3","","B003EYDYMA","1bad3eb4ed072c6b6cdc84ebc68cf566RICI","Not their best work but there's some pretty good songs on here. A bit pricey though as you could get the album cheaper on disc or on iTunes. Just bought it to complete the collection."
"93","5","","B003FRP7WQ","39e3022ed7d4d3b31c0f5fbf397ab90fM9EF","What a shock! After so many years out of the limelight, Ratt returned with probably the best album of their careers. I can't believe how good this is.\nA true return to form... and then some."
"101","3","","B003HB7OFS","7f70887c31bae55097c39ceb711255f7BEMM","Great song!!!!!But repetitive!!!"
"111","4","","B003HIHEO2","b82f0893b155144a280e132cb1f19a70S5WF","Lively and strong song"
"113","5","","B003HIHEO2","3dfaf1ce9afc60b126ca987b8b447b88AJ9V","This is one of my favorite Carole King songs. She does a great job as usual. I just love it. In my opinion, she was one of the best performers and song writers during the '70s."
"137","5","","B003J5QMM8","0f43e91f3f5fd147b1bb815fc1b16a479G0B","One of my favorites!"
"147","5","","B003J5V7RS","e4a825edd7f0586240f5ffa8cb84cf1aHZ89","These are not cover songs. They are the original artists. I bought this CD years ago and the more I look around the more I realize this is one of the best collections around. I do with they had put a collage of the artists on the cover, but I imagine that would have made it more expensive. I recommend this collection of 80s hits."
"166","3","","B003JR2AKO","d5bb6232c8a5d56117369443a640efc9WUN5","When it has came down to Fantasia Burrino, she hasn't been fully able to deliver with striking distance with her music. While she has been very close a few times with her music, not anything definitive. Also with the recent heartbreak she has undergone from her suicide attempt, many people have wondered if she has been able to re-deliver. Her latest single, Bittersweet from her album Back To Me isn't really all of that. While the song isn't bad, and so far is one her better songs, it just hasn't been definitive to what Fantasia has really to blossom to. I do hope that Fantasia can really wow everyone for her next single, but from what I've heard from Back To Me I really cannot say.\n\nSong: C+"
"167","3","","B003KLNQBQ","390342f47a3d48be66e9e711d13460449ZX1","Liked It"
"170","5","","B003KLNQBQ","ae0fe04345fde089179abd0da2b47987XCY0","I took a day in March and downloaded about 700 songs and some were bad, some were great, this one is above average"
"176","4","","B003KPGXNU","93dbf3840c11acccf870799561286e64LDJ4","great song from the 50's"
"178","5","","B003KPM4N8","281c767ac4a02b3de39453259cc5e333236J","Their best!!"
"179","5","","B003KPM4N8","c830b0b366a610e1dad70e96f23902c58LUO","lov"
"192","5","","B003L0I4YK","df616d09bdaae23762f16d54138137f3XEDI","Love the percussions in the song. Really enjoy the intro"
"245","5","","B003N53G28","869d8bbdd2470a6df351590bb7e5eab0V2OD","Good Song"
"246","5","","B003N53G28","4b5bdec027d8d13650fa4bf2587c0a4bUXGA","Awesome song!"
"262","3","","B003O3RJ40","ff5526b8d9bc3999f678394d9e1ef9df9ISJ","There are a lot of great pieces in here... However I wish all of the Midsummer's Nights Dream tracks were at least from the dame artist."
"263","5","","B003O3RJ40","c5b94755cdaa2eb457c7e9dd0546a995SZ93","Excellent selection and interpretation!"
"268","5","","B003OAWAEC","4d4184510a5fefc71cd36d362394da74CNJ6","This is a great song.  I love the lyrics and how it is sung.  It has met my expectations and then some."
"269","5","","B003P07RVM","85f97b88164c603f0e901a6f1ea9c6a1PEDQ","Great Song!"
"288","4","","B003P28LR4","897c824b53f24c894fba70e54e38b44aHZ49","GREAT SONG THAT I WANTED TO ADD TO MY COLLECTION."
"298","4","","B003P976BE","c2dd52f27f0f342b57a334fdb0ee5a1e8VA5","This is a decent album. It has a very striped down feel to it and is reminiscent of some of Korn's early releases. I will say that I enjoy all of Korn's albums, but this is probably one of the weaker ones they released."
"313","5","","B003QXF9C2","0b6ec81a4a03eac6dd14fc6afbc0e171ZBMY","Brought back so many memories."
"314","5","","B003QXF9C2","319d5700b813ad935762877ef2fa540dEYQG","I LUV IT!"
"319","3","","B003RELH30","045327a4b77c3e64ebc1bb1f1b060d1dQ521","Really have not listened.  Purchased for my son but previous music seemed to be so much better.  My son likes it though"
"340","5","","B003RO1N98","1ab2eb7959163326ed6153f88f2c0b384VB1","Great song Stan"
"353","5","","B003RPV1US","7be315d4f53f82fda287459b28535f7eACK6","It is a great sound track, which I sing in church. The music is very clear and is easy to follow."
"354","5","","B003RPV1US","7be315d4f53f82fda287459b28535f7eACK6","It is a great sound track, which I sing in church. The music is very clear and is easy to follow"
"361","5","","B003RNXJ0K","04c543d9e73ab4504d812c044b234cc1I5DR","Love this song"
"367","4","","B003RNUH46","2ccc705398367c5eeb4b7989990582edDINF","Good song."
"378","5","","B003RRFVYS","985234dff0332471c929febfbd2866ddB8UR","Awesome!"
"387","4","","B003SAH5X4","366287b920196c8504f124d061baad96E78J","Cool song!"
"394","5","","B003SARPSY","9734deceda283ff381421a876691143cR7TG","One Of The GREATER Rock Anthem/Power Ballads !!!!"
"400","5","","B003SAILXM","873b2ef48ca74bfeedd7840d8f96d552YPSY","bad cover"
"406","5","","B003SNY4VW","545b1ec3434aa4e69ecca415faae202eTIUY","Recorded in Nashville with Vince Gill & Amy Grant's people, so rewarding another project scheduled, the two albums Jimmy Webb sold and promoted during his last tour!"
"410","5","","B003SX5SXU","8feefa71da132c09da3e8d3c0d5b2a23ZH45","5*"
"414","5","","B003SX5SXU","8f8eaa9b49e1632faef66e7f11ee1949LJ7M","Love this track!"
