"id","rating","vote","asin","user_id","reviewText"
"1","4","","B003AE8A9Q","cdf8ae03fdd33c3c6740610e58be1244F9VL","Not the version I usually here on the radio or in ther clubs."
"2","5","","B003AE8A9Q","1559be8ed3b12c15226013c752b490e4DYMC","Great!"
"3","5","","B003AE8A9Q","10799f5f5bac3968a0bf9957c3ed54eaXEU0","In the clubs when this music began, EVERYONE got up to dance..."
"4","5","","B003AE8A9Q","4ebc706d54c125be95343642aafe0ae51ZVK","great song. Thank you!!"
"5","5","","B003AE8A9Q","6aa1a21aae083bff99b97d63bfaf2adeHCLI","wonderful"
"6","5","","B003AICE3A","f142ec77f05a18ab3803d68edb622c9aD5EK","Meh"
"7","4","","B003AICE3A","f6f7562db0b4a4e0dec227c0a2e2ea6eTTNT","A top hit for 1968 I believe, one of the top 10 songs of that year"
"8","5","","B003AICE3A","d14aa82795a74b0f1d2b18e8d9ea80acE5B0","The original...and still the outstanding standard for beautiful orchestration...along with Percy Faith's 'Theme From a Summer Place'.  Timeless beautiy.  A 'must-have' for any serious collector."
"9","5","","B003ALJM0A","8b49c5bb3f60787192b312c0ff4a3435LGSB","I like the song"
"10","5","","B003ALECD2","a61e87b8523e423309700dbbd1f5a516T3YM","Love it"
"11","5","","B003ALECD2","02b568b1014f0367b7c16486613e5853LR6L","Smooth transaction...no problems...thanks!"
"14","5","","B003ALECD2","4ff55a98b134cbeedceda618886cd428VOPL","Always makes me happy listening to this song!  Such a happy beat.  Good job Bruno Mars!  One of my all time favs from you."
"15","5","","B003AP683K","b8157ff828c3e8931578d89d1319f678ASXS","good"
"17","3","","B003AP683K","d2299489446daf55805e3a506923a5fdOTD5","I bought this song more to support Haiti than for the actual music.  It's an okay song, not my favorite."
"18","4","","B003AXJ2G2","a567d4205f943695ee81ad92dc6680e0QUUH","smooth"
"20","5","3","B003B2QPZI","4340d2d7311085797b06496848c1b647T9AP","She has a unique sound, they call her R and B. Im not sure about that, she has a wide range of styles and an amazing voice. Her writing is also top notch. Im a rock, metal, country, blues guy so i guess she is more blues than anything."
"21","5","","B003BG4KYM","7493a9d67b0eb1b2785115cb6d70adf57IOX","Classic Hendrix!"
"22","5","","B003BG4KYM","30ca829a9d7a10edcb4d426e2357c4bcJLDV","It's Jimi Hendrix what else do you want."
"23","5","","B003BG4KYM","b2fb2d64f48e16d4a952a4a503865becFM13","Classic"
"24","5","","B003BG4KYM","86361791cd35366a2ed2035597d2b58aE4NX","Nice"
"25","5","","B003BG4KYM","3e35b9e5d1e3893c97bbbe5a12a324f1ZQ4A","This is one of Jimi's most haunting and melodic masterpieces.  It is a true classic and a must to have in your rock library.  Hendrix passed away too soon and we can only imagine what other great creations the world will never hear and enjoy."
"26","5","","B003BG4KYM","366f6da228fc514fb7419c872c55242dKJZ0","Fantastic! It's Hendrix."
"28","5","","B003BMH92G","8fb566b5a27d75d05ad23b7abe29269bQSXU","I heard this on Comcast's Soundscapes music channel.  Awesome!"
"29","5","","B003BNHM1S","99001a1486a06139a9080f3d0f392dd41NRS","good"
"30","5","","B003BNHM1S","06743bf6fc27a88032f89808675b7738GLZY","Excellent! For spiritual growth!"
"31","5","","B003BNHM1S","0b392591d65598cecd7ca881fcbe97f0R66F","Very powerful song"
"33","5","","B003BNHM1S","4f29d3e7bcc7201221d8bc14d4b3efd4L3YY","Beautiful, beautiful song...I can just listen to it on repeat everyday,"
"35","5","","B003BTO5SU","0c1b29c808ec36d5a3d5d1a2a9ac57c83MLU","Great"
"36","5","","B003BTO5SU","f17e42caf007ff6dad8f6c45d7e9c760L7ZF","Love his music!"
"37","4","","B003BTO5SU","0bcfe7231f89b2dc12e5bcf4ed93240d0WL3","I love this song and the simplicity of it cant help but reach the heart. Only reason I didn't give it 5 stars is the recording quality isn't really up to the usual standards of Passion. I love Kristian Stanfill but will probably download another version of this song."
"38","5","","B003BTO5SU","c9e08894b23920c4ca175c7548abcdb8DWWI","Flipped ona Christian radio station and this song came on.  Never heard it before.  But it just captured me on the spot. I actually pulled over, pulled up the radio station website to find the artist and name and used their link to buy it on amazon.com right then.  A beautiful song.  A clear message. Family Friendly. Inspiring."
"39","3","","B003BZ0HWC","0c7225dbac914b6229c654111d5b4f22IF9P","This is an okay song."
"40","5","","B003BZ0HWC","276eeab57de17cc166f34c850bffd116G027","I love this song."
"41","5","","B003BZ0HWC","276eeab57de17cc166f34c850bffd116G027","This is an awesome song."
"43","5","","B003BZ0HWC","d2ea38495f0a38aa1137abad91fb8ddeAQLJ","This was purchased for my g.daughter. She is a huge justin bieber fan. There isn't a song he sings that she doesn't have."
"44","5","","B003C9SS6O","539581274e312fea85cdde6307b56aa89S0D","A powerful praise and worship song"
