"id","rating","vote","asin","user_id","reviewText"
"12","5","","B003ALECD2","676f1ea135184d2567c839832a3a10e80VCR","Awesome."
"16","5","","B003AP683K","cf9f824064c8c5d7c3c680044f63f76e1V3W","love it"
"19","5","","B003B2QPZI","49342c353746abbc1a9740dce5ac0af9YGY0","Nice CD, delivered promptly."
"32","5","","B003BNHM1S","2647ae15f394cf542e3cbcb7568bb2bfSWV3","Very Good. If you like Gospel Music I Highly Recommend."
"47","5","","B003C9SS6O","2fd8a3ea4d559e849061a09c525fc67aRWG6","Great song"
"52","5","","B003CEQQ4K","8c77467303dae22ac5fea8f156ce53d1V5AU","It's Hillsong United you can't go wrong.  Beautiful worship music"
"53","5","","B003CEQQ4K","843dc65e6ce33ef926d846d81f992aa5LIJJ","Great ... love it."
"57","5","","B003CESQLQ","8c77467303dae22ac5fea8f156ce53d1V5AU","It's Hillsong United you can't go wrong.  Beautiful worship music"
"58","5","","B003CESQLQ","2fd8a3ea4d559e849061a09c525fc67aRWG6","Excellent song.."
"72","5","","B003CUIW8W","98236664cffc7448bd31fa93d1a80cc64VXK","Satisfied with item."
"75","5","","B003CV5N10","954ce9a6a6c8e1695e7647dbc820a296B82Q","GREAT SONG!!"
"83","5","","B003DDY3NG","298436adbf5e47e2ec582665678e47e4U22V","I love this song by Elvis !! It's sounds great !!!"
"85","5","","B003FA6KR4","4142a44bc342ef1b39a42bfbcfe675c6D5DM","A+"
"101","3","","B003HB7OFS","7f70887c31bae55097c39ceb711255f7BEMM","Great song!!!!!But repetitive!!!"
"104","5","","B003HB9GYU","70b7f3f7ed3ef374e1a3a2c40120bdb7NX56","Love Willie"
"108","4","","B003HB9GYU","63e7b4c1e640faeb9221312d806f2738VLM3","Great song"
"117","5","","B003HJA28G","d5190d43f4f53474b99933f5d14637d3PN9X","Soft music and it is good listening on rainy days and when you just need a break."
"130","1","","B003IYOR9A","c0496bae74534b78f8dca536ab19adc98SCE","bad"
"135","5","","B003J5SR8A","76719cf10b397182cf5f6aef2bfbddadYEUB","Love this song"
"140","5","","B003J5QMM8","5a10c8119b27e59fe0b255e9a3e288e3G599","good"
"145","3","","B003J5YNT2","6cedd069b9f69735884a3c86143dbff4ECYN","Our Worship team plays this song. As Lead Guitarist, I needed a reference to the melody so I compose and practice guitar solos for this song."
